key,timestamp,event,attempt
i,1718100019.4913087,keydown,0
i,1718100019.5626721,keyup,0
n,1718100019.7025561,keydown,0
n,1718100019.785343,keyup,0
e,1718100019.8951461,keydown,0
e,1718100019.985991,keyup,0
t,1718100020.1611886,keydown,0
t,1718100020.2321827,keyup,0
u,1718100020.3321853,keydown,0
u,1718100020.4131892,keyup,0
m,1718100020.5744333,keydown,0
m,1718100020.669442,keyup,0
i,1718100020.9826448,keydown,1
i,1718100021.0541842,keyup,1
n,1718100021.1977186,keydown,1
n,1718100021.2683322,keyup,1
e,1718100021.449345,keydown,1
e,1718100021.5203378,keyup,1
t,1718100021.8023448,keydown,1
t,1718100021.8893478,keyup,1
u,1718100021.97835,keydown,1
u,1718100022.049014,keyup,1
m,1718100022.1832852,keydown,1
m,1718100022.2752066,keyup,1
i,1718100022.5158658,keydown,2
i,1718100022.5868623,keyup,2
n,1718100022.7306175,keydown,2
n,1718100022.802882,keyup,2
e,1718100022.913241,keydown,2
e,1718100023.0049477,keyup,2
t,1718100023.1889436,keydown,2
t,1718100023.2699456,keyup,2
u,1718100023.421571,keydown,2
u,1718100023.5071259,keyup,2
m,1718100023.6991298,keydown,2
m,1718100023.7651365,keyup,2
i,1718100024.0417485,keydown,3
i,1718100024.1577492,keyup,3
n,1718100024.2662997,keydown,3
n,1718100024.337281,keyup,3
e,1718100024.417284,keydown,3
e,1718100024.528284,keyup,3
t,1718100024.658287,keydown,3
t,1718100024.7332976,keyup,3
u,1718100024.8692935,keydown,3
u,1718100024.9432983,keyup,3
m,1718100025.1343405,keydown,3
m,1718100025.2543383,keyup,3
i,1718100025.5026186,keydown,4
i,1718100025.604617,keyup,4
n,1718100025.7488291,keydown,4
n,1718100025.8299472,keyup,4
e,1718100025.9306295,keydown,4
e,1718100026.031481,keyup,4
t,1718100026.2008386,keydown,4
t,1718100026.2561302,keyup,4
u,1718100026.3967094,keydown,4
u,1718100026.4777117,keyup,4
m,1718100026.5977182,keydown,4
m,1718100026.703715,keyup,4
i,1718100026.95572,keydown,5
i,1718100027.0475054,keyup,5
n,1718100027.1875086,keydown,5
n,1718100027.261508,keyup,5
e,1718100027.3815186,keydown,5
e,1718100027.4925146,keyup,5
t,1718100027.613518,keydown,5
t,1718100027.7085197,keyup,5
u,1718100027.7985218,keydown,5
u,1718100027.889528,keyup,5
m,1718100028.0408478,keydown,5
m,1718100028.130852,keyup,5
i,1718100028.3668587,keydown,6
i,1718100028.4608564,keyup,6
n,1718100028.612065,keydown,6
n,1718100028.6810622,keyup,6
e,1718100028.7794328,keydown,6
e,1718100028.8674784,keyup,6
t,1718100029.0325549,keydown,6
t,1718100029.0935545,keyup,6
u,1718100029.180623,keydown,6
u,1718100029.273607,keyup,6
m,1718100029.4339647,keydown,6
m,1718100029.5347269,keyup,6
i,1718100029.7902331,keydown,7
i,1718100029.8722408,keyup,7
n,1718100030.0224898,keydown,7
n,1718100030.1034875,keyup,7
e,1718100030.2204888,keydown,7
e,1718100030.3084898,keyup,7
t,1718100030.4484928,keydown,7
t,1718100030.5396557,keyup,7
u,1718100030.6206498,keydown,7
u,1718100030.7103007,keyup,7
m,1718100030.8453004,keydown,7
m,1718100030.94631,keyup,7
i,1718100031.5032258,keydown,8
i,1718100031.5842385,keyup,8
n,1718100031.7152364,keydown,8
n,1718100031.7902343,keyup,8
e,1718100031.8572326,keydown,8
e,1718100031.9522388,keyup,8
t,1718100032.093589,keydown,8
t,1718100032.1736252,keyup,8
u,1718100032.2876172,keydown,8
u,1718100032.3696187,keyup,8
m,1718100032.5034676,keydown,8
m,1718100032.6106205,keyup,8
i,1718100032.9371777,keydown,9
i,1718100033.0178764,keyup,9
n,1718100033.1378794,keydown,9
n,1718100033.2208776,keyup,9
e,1718100033.323879,keydown,9
e,1718100033.4358842,keyup,9
t,1718100033.5358853,keydown,9
t,1718100033.616886,keyup,9
u,1718100033.7068884,keydown,9
u,1718100033.801962,keyup,9
m,1718100033.9831638,keydown,9
m,1718100034.0852811,keyup,9
i,1718100034.350343,keydown,10
i,1718100034.440938,keyup,10
n,1718100034.5809455,keydown,10
n,1718100034.652945,keyup,10
e,1718100034.738947,keydown,10
e,1718100034.838949,keyup,10
t,1718100034.9499512,keydown,10
t,1718100035.0395272,keyup,10
u,1718100035.1305287,keydown,10
u,1718100035.2205522,keyup,10
m,1718100035.359694,keydown,10
m,1718100035.457338,keyup,10
i,1718100035.7747366,keydown,11
i,1718100035.8564403,keyup,11
n,1718100035.9739795,keydown,11
n,1718100036.0553842,keyup,11
e,1718100036.1553862,keydown,11
e,1718100036.2563958,keyup,11
t,1718100036.3703942,keydown,11
t,1718100036.4519327,keyup,11
u,1718100036.5319362,keydown,11
u,1718100036.6319342,keyup,11
m,1718100036.7529402,keydown,11
m,1718100036.8679404,keyup,11
i,1718100037.128717,keydown,12
i,1718100037.220719,keyup,12
n,1718100037.3547227,keydown,12
n,1718100037.4357295,keyup,12
e,1718100037.5317278,keydown,12
e,1718100037.6077275,keyup,12
t,1718100037.7077315,keydown,12
t,1718100037.7917454,keyup,12
u,1718100037.861739,keydown,12
u,1718100037.9475951,keyup,12
m,1718100038.0740957,keydown,12
m,1718100038.1851068,keyup,12
i,1718100038.471733,keydown,13
i,1718100038.551735,keyup,13
n,1718100038.6927984,keydown,13
n,1718100038.7743745,keyup,13
e,1718100038.8478343,keydown,13
e,1718100038.9398167,keyup,13
t,1718100039.0701103,keydown,13
t,1718100039.1610818,keyup,13
u,1718100039.233091,keydown,13
u,1718100039.3260896,keyup,13
m,1718100039.4660885,keydown,13
m,1718100039.577092,keyup,13
i,1718100039.8120942,keydown,14
i,1718100039.903099,keyup,14
n,1718100040.034695,keydown,14
n,1718100040.114697,keyup,14
e,1718100040.1846993,keydown,14
e,1718100040.2857025,keyup,14
t,1718100040.4007022,keydown,14
t,1718100040.5014625,keyup,14
u,1718100040.5516398,keydown,14
u,1718100040.6432927,keyup,14
m,1718100040.7842977,keydown,14
m,1718100040.9083009,keyup,14
i,1718100041.1704895,keydown,15
i,1718100041.2614913,keyup,15
n,1718100041.386101,keydown,15
n,1718100041.4706504,keyup,15
e,1718100041.5473878,keydown,15
e,1718100041.622524,keyup,15
t,1718100041.7805188,keydown,15
t,1718100041.8775196,keyup,15
u,1718100041.9342213,keydown,15
u,1718100042.0254579,keyup,15
m,1718100042.1756,keydown,15
m,1718100042.2776399,keyup,15
i,1718100042.5307531,keydown,16
i,1718100042.6227539,keyup,16
n,1718100042.752756,keydown,16
n,1718100042.837764,keyup,16
e,1718100042.8777578,keydown,16
e,1718100043.0004504,keyup,16
t,1718100043.0904653,keydown,16
t,1718100043.1804528,keyup,16
u,1718100043.2204525,keydown,16
u,1718100043.336462,keyup,16
m,1718100043.456458,keydown,16
m,1718100043.5780315,keyup,16
i,1718100043.8644626,keydown,17
i,1718100043.954461,keyup,17
n,1718100044.0702784,keydown,17
n,1718100044.1472828,keyup,17
e,1718100044.1962776,keydown,17
e,1718100044.299281,keyup,17
t,1718100044.3774672,keydown,17
t,1718100044.4664657,keyup,17
u,1718100044.4924622,keydown,17
u,1718100044.5974715,keyup,17
m,1718100044.776999,keydown,17
m,1718100044.8940902,keyup,17
i,1718100045.1718419,keydown,18
i,1718100045.263732,keyup,18
n,1718100045.3834157,keydown,18
n,1718100045.4710307,keyup,18
e,1718100045.530032,keydown,18
e,1718100045.6422675,keyup,18
t,1718100045.726837,keydown,18
t,1718100045.8407,keyup,18
u,1718100045.8422358,keydown,18
u,1718100045.934876,keyup,18
m,1718100046.0569828,keydown,18
m,1718100046.199986,keyup,18
i,1718100046.4620533,keydown,19
i,1718100046.543055,keyup,19
n,1718100046.6640606,keydown,19
n,1718100046.7550607,keyup,19
e,1718100046.795062,keydown,19
e,1718100046.8890617,keyup,19
t,1718100046.9896948,keydown,19
t,1718100047.0928457,keyup,19
u,1718100047.1513073,keydown,19
u,1718100047.2523067,keyup,19
m,1718100047.3963177,keydown,19
m,1718100047.5188508,keyup,19
i,1718100047.8298576,keydown,20
i,1718100047.915862,keyup,20
n,1718100048.0380497,keydown,20
n,1718100048.1270285,keyup,20
e,1718100048.1570344,keydown,20
e,1718100048.259034,keyup,20
t,1718100048.3821745,keydown,20
t,1718100048.4732852,keyup,20
u,1718100048.5329778,keydown,20
u,1718100048.633979,keyup,20
m,1718100048.7636971,keydown,20
m,1718100048.8823445,keyup,20
i,1718100049.1709864,keydown,21
i,1718100049.251989,keyup,21
n,1718100049.3869934,keydown,21
n,1718100049.4779937,keyup,21
e,1718100049.5179963,keydown,21
e,1718100049.618996,keyup,21
t,1718100049.7190003,keydown,21
t,1718100049.8340108,keyup,21
u,1718100049.836003,keydown,21
u,1718100049.9140048,keyup,21
m,1718100050.0660076,keydown,21
m,1718100050.187013,keyup,21
i,1718100050.5331848,keydown,22
i,1718100050.6248014,keyup,22
n,1718100050.7638013,keydown,22
n,1718100050.8558896,keyup,22
e,1718100050.918897,keydown,22
e,1718100051.0215285,keyup,22
t,1718100051.136532,keydown,22
t,1718100051.2335324,keyup,22
u,1718100051.2745354,keydown,22
u,1718100051.3795433,keyup,22
m,1718100051.5321517,keydown,22
m,1718100051.649788,keyup,22
i,1718100051.998408,keydown,23
i,1718100052.090378,keyup,23
n,1718100052.2381518,keydown,23
n,1718100052.3191512,keyup,23
e,1718100052.3381522,keydown,23
e,1718100052.4441524,keyup,23
t,1718100052.5851655,keydown,23
t,1718100052.6661603,keyup,23
u,1718100052.7161608,keydown,23
u,1718100052.8171666,keyup,23
m,1718100052.9711657,keydown,23
m,1718100053.0928333,keyup,23
i,1718100053.4179146,keydown,24
i,1718100053.5093942,keyup,24
n,1718100053.6593943,keydown,24
n,1718100053.740398,keyup,24
e,1718100053.7704058,keydown,24
e,1718100053.8824017,keyup,24
t,1718100053.986405,keydown,24
t,1718100054.078937,keyup,24
u,1718100054.1189382,keydown,24
u,1718100054.2199364,keyup,24
m,1718100054.3932838,keydown,24
m,1718100054.516284,keyup,24
i,1718100054.8271525,keydown,25
i,1718100054.9323268,keyup,25
n,1718100055.073208,keydown,25
n,1718100055.1552792,keyup,25
e,1718100055.1942973,keydown,25
e,1718100055.2966118,keyup,25
t,1718100055.3656123,keydown,25
t,1718100055.4506252,keyup,25
u,1718100055.4902039,keydown,25
u,1718100055.5922017,keyup,25
m,1718100055.772933,keydown,25
m,1718100055.8839376,keyup,25
i,1718100056.119136,keydown,26
i,1718100056.2101362,keyup,26
n,1718100056.370346,keydown,26
n,1718100056.4463391,keyup,26
e,1718100056.4753473,keydown,26
e,1718100056.586343,keyup,26
t,1718100056.6973472,keydown,26
t,1718100056.7983491,keyup,26
u,1718100056.912351,keydown,26
u,1718100056.9934855,keyup,26
m,1718100057.215616,keydown,26
m,1718100057.3176267,keyup,26
i,1718100057.591115,keydown,27
i,1718100057.6726766,keyup,27
n,1718100057.843003,keydown,27
n,1718100057.9179795,keyup,27
e,1718100057.9683437,keydown,27
e,1718100058.0890577,keyup,27
t,1718100058.2100604,keydown,27
t,1718100058.2910614,keyup,27
u,1718100058.4110644,keydown,27
u,1718100058.5070684,keyup,27
m,1718100058.6463954,keydown,27
m,1718100058.758395,keyup,27
i,1718100059.043772,keydown,28
i,1718100059.135182,keyup,28
n,1718100059.2851863,keydown,28
n,1718100059.3561893,keyup,28
e,1718100059.3861902,keydown,28
e,1718100059.48119,keyup,28
t,1718100059.571191,keydown,28
t,1718100059.6521962,keyup,28
u,1718100059.7131948,keydown,28
u,1718100059.793237,keyup,28
m,1718100059.9241993,keydown,28
m,1718100060.0460033,keyup,28
i,1718100060.3320081,keydown,29
i,1718100060.4034963,keyup,29
n,1718100060.559649,keydown,29
e,1718100060.648282,keydown,29
n,1718100060.6522765,keyup,29
e,1718100060.7794683,keyup,29
t,1718100060.8595667,keydown,29
t,1718100060.9545677,keyup,29
u,1718100061.0252078,keydown,29
u,1718100061.1152124,keyup,29
m,1718100061.2762144,keydown,29
m,1718100061.3873496,keyup,29
i,1718100061.622351,keydown,30
i,1718100061.7143528,keyup,30
n,1718100061.8543644,keydown,30
n,1718100061.9253578,keyup,30
e,1718100061.9884746,keydown,30
e,1718100062.0913546,keyup,30
t,1718100062.1803539,keydown,30
t,1718100062.272358,keyup,30
u,1718100062.3223584,keydown,30
u,1718100062.4123614,keyup,30
m,1718100062.5983644,keydown,30
m,1718100062.6993692,keyup,30
i,1718100062.9843805,keydown,31
i,1718100063.057375,keyup,31
n,1718100063.217416,keydown,31
n,1718100063.2981043,keyup,31
e,1718100063.3178334,keydown,31
e,1718100063.4493694,keyup,31
t,1718100063.5023706,keydown,31
t,1718100063.595483,keyup,31
u,1718100063.651529,keydown,31
u,1718100063.7413604,keyup,31
m,1718100063.8654132,keydown,31
m,1718100063.991408,keyup,31
i,1718100064.3145304,keydown,32
i,1718100064.405533,keyup,32
n,1718100064.5405362,keydown,32
n,1718100064.6115358,keyup,32
e,1718100064.6315424,keydown,32
e,1718100064.732541,keyup,32
t,1718100064.812547,keydown,32
t,1718100064.8945477,keyup,32
u,1718100064.945546,keydown,32
u,1718100065.0295146,keyup,32
m,1718100065.19152,keydown,32
m,1718100065.2925203,keyup,32
i,1718100065.5275247,keydown,33
i,1718100065.6095254,keyup,33
n,1718100065.7502131,keydown,33
n,1718100065.8212118,keyup,33
e,1718100065.8412318,keydown,33
e,1718100065.9552224,keyup,33
t,1718100066.035745,keydown,33
t,1718100066.13675,keyup,33
u,1718100066.1707468,keydown,33
u,1718100066.261748,keyup,33
m,1718100066.4234996,keydown,33
m,1718100066.524694,keyup,33
i,1718100066.7856274,keydown,34
i,1718100066.8662705,keyup,34
n,1718100067.002067,keydown,34
n,1718100067.0832126,keyup,34
e,1718100067.112213,keydown,34
e,1718100067.224236,keyup,34
t,1718100067.2842166,keydown,34
t,1718100067.37522,keyup,34
u,1718100067.4142234,keydown,34
u,1718100067.5002198,keyup,34
m,1718100067.6402245,keydown,34
m,1718100067.7412324,keyup,34
i,1718100068.0573928,keydown,35
i,1718100068.1293955,keyup,35
n,1718100068.2793965,keydown,35
e,1718100068.3604019,keydown,35
n,1718100068.3634017,keyup,35
e,1718100068.4819353,keyup,35
t,1718100068.5459363,keydown,35
t,1718100068.6369376,keyup,35
u,1718100068.6659458,keydown,35
u,1718100068.7679431,keyup,35
m,1718100068.8979478,keydown,35
m,1718100069.023706,keyup,35
i,1718100069.2657125,keydown,36
i,1718100069.3671942,keyup,36
n,1718100069.530198,keydown,36
n,1718100069.5911984,keyup,36
e,1718100069.6411922,keydown,36
e,1718100069.762673,keyup,36
t,1718100069.802663,keydown,36
