key,timestamp,event,attempt
i,1718181808.7880087,keydown,0
i,1718181808.8410363,keyup,0
n,1718181809.0172002,keydown,0
n,1718181809.0838063,keyup,0
e,1718181809.1203666,keydown,0
e,1718181809.1909177,keyup,0
t,1718181809.3338938,keydown,0
t,1718181809.385872,keyup,0
u,1718181809.5911145,keydown,0
u,1718181809.6495862,keyup,0
m,1718181809.822764,keydown,0
m,1718181809.893524,keyup,0
i,1718181810.543028,keydown,1
i,1718181810.623433,keyup,1
n,1718181810.8278425,keydown,1
n,1718181810.8989818,keyup,1
e,1718181810.9589083,keydown,1
e,1718181811.040138,keyup,1
t,1718181811.1802142,keydown,1
t,1718181811.2453468,keyup,1
u,1718181811.4162228,keydown,1
u,1718181811.4669573,keyup,1
m,1718181811.6778772,keydown,1
m,1718181811.743151,keyup,1
i,1718181812.2689822,keydown,2
i,1718181812.340256,keyup,2
n,1718181812.510846,keydown,2
n,1718181812.591799,keyup,2
e,1718181812.641279,keydown,2
e,1718181812.7132766,keyup,2
t,1718181812.8366988,keydown,2
t,1718181812.9084487,keyup,2
u,1718181813.078344,keydown,2
u,1718181813.149339,keyup,2
m,1718181813.3558943,keydown,2
m,1718181813.416623,keyup,2
i,1718181814.1960282,keydown,3
i,1718181814.2586832,keyup,3
n,1718181814.4516828,keydown,3
n,1718181814.525197,keyup,3
e,1718181814.562197,keydown,3
e,1718181814.6321964,keyup,3
t,1718181814.7764575,keydown,3
t,1718181814.840123,keyup,3
u,1718181815.028827,keydown,3
u,1718181815.0808322,keyup,3
m,1718181815.3143008,keydown,3
m,1718181815.3615105,keyup,3
i,1718181821.1472406,keydown,4
i,1718181821.2219214,keyup,4
n,1718181822.4592588,keydown,4
n,1718181822.5392663,keyup,4
e,1718181822.620256,keydown,4
e,1718181822.7015116,keyup,4
t,1718181822.823592,keydown,4
t,1718181822.8845866,keyup,4
u,1718181823.0756042,keydown,4
u,1718181823.1365857,keyup,4
m,1718181823.3260398,keydown,4
m,1718181823.3928385,keyup,4
i,1718181824.1210344,keydown,5
i,1718181824.1927865,keyup,5
n,1718181824.3656225,keydown,5
n,1718181824.4466293,keyup,5
e,1718181824.4866228,keydown,5
e,1718181824.5676222,keyup,5
t,1718181824.697626,keydown,5
t,1718181824.7586281,keyup,5
u,1718181824.9442966,keydown,5
u,1718181825.0048037,keyup,5
m,1718181825.184805,keydown,5
m,1718181825.25776,keyup,5
i,1718181825.9496078,keydown,6
i,1718181826.0115304,keyup,6
n,1718181826.2321692,keydown,6
n,1718181826.3137546,keyup,6
e,1718181826.3780787,keydown,6
e,1718181826.4491017,keyup,6
t,1718181826.5999353,keydown,6
t,1718181826.660444,keyup,6
u,1718181826.8656745,keydown,6
u,1718181826.9263396,keyup,6
m,1718181827.128578,keydown,6
m,1718181827.2093422,keyup,6
i,1718181827.6245692,keydown,7
i,1718181827.6857677,keyup,7
n,1718181827.8801827,keydown,7
n,1718181827.9516928,keyup,7
e,1718181828.041466,keydown,7
e,1718181828.1225595,keyup,7
t,1718181828.7935052,keydown,7
t,1718181828.8574994,keyup,7
u,1718181829.5656338,keydown,7
u,1718181829.6468744,keyup,7
m,1718181830.2737582,keydown,7
m,1718181830.3457549,keyup,7
i,1718181831.1577053,keydown,8
i,1718181831.2188058,keyup,8
n,1718181831.8823402,keydown,8
n,1718181831.9629803,keyup,8
e,1718181832.0328152,keydown,8
e,1718181832.1139958,keyup,8
t,1718181832.2137277,keydown,8
t,1718181832.275326,keyup,8
u,1718181832.4495664,keydown,8
u,1718181832.510656,keyup,8
m,1718181832.691331,keydown,8
m,1718181832.7622056,keyup,8
i,1718181833.201373,keydown,9
i,1718181833.2703972,keyup,9
n,1718181833.4148033,keydown,9
n,1718181833.497746,keyup,9
e,1718181833.5664022,keydown,9
e,1718181833.648402,keyup,9
t,1718181833.798535,keydown,9
t,1718181833.8604705,keyup,9
u,1718181834.064757,keydown,9
u,1718181834.124943,keyup,9
m,1718181834.3559499,keydown,9
m,1718181834.4349494,keyup,9
i,1718181835.199974,keydown,10
i,1718181835.2615368,keyup,10
n,1718181835.4564574,keydown,10
n,1718181835.5372908,keyup,10
e,1718181835.597191,keydown,10
e,1718181835.6682222,keyup,10
t,1718181835.8186123,keydown,10
t,1718181835.8796957,keyup,10
u,1718181836.054413,keydown,10
u,1718181836.1151466,keyup,10
m,1718181836.3165772,keydown,10
m,1718181836.3873298,keyup,10
i,1718181837.410375,keydown,11
i,1718181837.4729474,keyup,11
n,1718181837.6739364,keydown,11
